,Unnamed: 0,billing_entity,model,one_month,set_no,test_actual,test_mape,test_predicted,third_month,train_mape,two_month,val_mape
32,32.0,AHPN,TBATS,1.32,9.0,[4110963.7  4802555.71 4393488.78],6.41,"[4165124.5749756084, 4173489.7336452887, 4181775.4710086472]",4.82,8.71,13.1,7.52
33,33.0,AHPN,TBATS,13.62,10.0,[4802555.71 4393488.78 3925176.47],8.29,"[4148488.1434628293, 4147741.538276049, 4147092.6989316554]",5.65,8.25,5.59,4.56
34,34.0,AHPN,TBATS,4.06,11.0,[4393488.78 3925176.47 4482485.  ],5.81,"[4214923.295792633, 4214923.295792633, 4214923.295792633]",5.97,6.03,7.38,9.4
35,35.0,AHPN,TBATS,7.38,12.0,[3925176.47 4482485.   4557871.16],5.6,"[4214876.413845137, 4293337.343576425, 4321056.270521962]",5.2,6.49,4.22,6.61
36,36.0,AHPN,VARMAX,9.75,1.0,[4511639.85 3866722.   4640701.  ],7.58,"[4071597.1405922957, 3892936.170961344, 4069181.8906421084]",12.32,6.1,0.68,10.35
37,37.0,AHPN,VARMAX,2.0,2.0,[3866722.   4640701.   4139915.59],4.95,"[3944228.6805341667, 4102388.4574975376, 4191494.5627984204]",1.25,5.88,11.6,15.87
38,38.0,AHPN,VARMAX,12.9,3.0,[4640701.   4139915.59 3903136.32],6.75,"[4041897.168502141, 3946080.389080705, 3799134.2758918502]",2.66,5.88,4.68,7.01
39,39.0,AHPN,VARMAX,0.08,4.0,[4139915.59 3903136.32 3905032.63],8.26,"[4136614.078035036, 4282677.111920163, 4489297.915985156]",14.96,5.8,9.72,8.92
40,40.0,AHPN,VARMAX,10.28,5.0,[3903136.32 3905032.63 3907572.95],8.97,"[4304468.716971149, 4275850.363715047, 3628815.6535075703]",7.13,7.0,9.5,6.38
41,41.0,AHPN,VARMAX,13.9,6.0,[3905032.63 3907572.95 4446243.31],10.66,"[4447768.979747354, 3370054.574826959, 4254217.522099638]",4.32,6.82,13.76,5.24
42,42.0,AHPN,VARMAX,20.4,7.0,[3907572.95 4446243.31 4110963.7 ],15.8,"[3110606.5041465615, 3766364.7822040725, 3628939.9027001727]",11.73,6.92,15.29,6.88
43,43.0,AHPN,VARMAX,20.09,8.0,[4446243.31 4110963.7  4802555.71],13.07,"[3553093.0664697723, 3790324.6164879855, 4259098.051213891]",11.32,5.72,7.8,8.32
44,44.0,AHPN,VARMAX,8.8,9.0,[4110963.7  4802555.71 4393488.78],7.1,"[3749006.9019817, 4741439.0635739, 3899930.403246872]",11.23,6.06,1.27,11.07
45,45.0,AHPN,VARMAX,3.2,10.0,[4802555.71 4393488.78 3925176.47],8.96,"[4649036.3774024155, 3651715.171084749, 4191570.2644661427]",6.79,5.82,16.88,15.99
46,46.0,AHPN,VARMAX,11.81,11.0,[4393488.78 3925176.47 4482485.  ],12.38,"[3874835.9694793667, 4741381.109907535, 4278519.727595092]",4.55,5.97,20.79,12.56
47,47.0,AHPN,VARMAX,18.8,12.0,[3925176.47 4482485.   4557871.16],8.14,"[4663135.526743191, 4637294.754335639, 4657190.083918587]",2.18,5.76,3.45,4.94
48,48.0,AHPN,VARMA,9.56,1.0,[4511639.85 3866722.   4640701.  ],8.64,"[4080343.138439859, 3797319.4771228046, 3964537.037241405]",14.57,7.07,1.79,4.65
49,49.0,AHPN,VARMA,3.01,2.0,[3866722.   4640701.   4139915.59],3.97,"[3750278.224561257, 4288833.092196921, 4084904.3187960833]",1.33,6.32,7.58,5.57
50,50.0,AHPN,VARMA,6.98,3.0,[4640701.   4139915.59 3903136.32],4.74,"[4316968.543995339, 4090657.7949742656, 4139398.5252316706]",6.05,6.11,1.19,5.13
51,51.0,AHPN,VARMA,0.39,4.0,[4139915.59 3903136.32 3905032.63],7.53,"[4156094.4024483566, 4353293.614823275, 4321438.872856145]",10.66,6.06,11.53,7.38
52,52.0,AHPN,VARMA,10.92,5.0,[3903136.32 3905032.63 3907572.95],8.33,"[4329291.770950883, 4319189.900698262, 4042618.2038187026]",3.46,7.3,10.61,4.56
53,53.0,AHPN,VARMA,11.28,6.0,[3905032.63 3907572.95 4446243.31],7.38,"[4345633.873200682, 3776478.049475845, 4112203.6070188475]",7.51,6.92,3.35,4.13
54,54.0,AHPN,VARMA,4.35,7.0,[3907572.95 4446243.31 4110963.7 ],10.62,"[3737699.7218849254, 3689807.2317222003, 3679727.4440016616]",10.49,7.01,17.01,7.6
55,55.0,AHPN,VARMA,17.15,8.0,[4446243.31 4110963.7  4802555.71],12.31,"[3683909.3163247365, 3824166.8064918392, 4187752.433104251]",12.8,6.12,6.98,8.13
56,56.0,AHPN,VARMA,10.76,9.0,[4110963.7  4802555.71 4393488.78],8.14,"[3668456.9588116067, 4491879.227213677, 4077563.273252091]",7.19,6.44,6.47,6.46
57,57.0,AHPN,VARMA,7.68,10.0,[4802555.71 4393488.78 3925176.47],10.75,"[4433856.921093998, 3668651.55791289, 4241797.6418554755]",8.07,6.72,16.5,9.88
58,58.0,AHPN,VARMA,10.96,11.0,[4393488.78 3925176.47 4482485.  ],11.19,"[3911782.4156548474, 4658921.276651113, 4657542.116069772]",3.91,5.56,18.69,8.37
59,59.0,AHPN,VARMA,20.8,12.0,[3925176.47 4482485.   4557871.16],8.73,"[4741560.1016805405, 4694026.374218279, 4527463.414469346]",0.67,5.78,4.72,4.14
60,60.0,AHPN,Holt Winter's,7.17,1.0,[4511639.85 3866722.   4640701.  ],5.32,"[4188256.0820783726, 4031395.03749037, 4430689.505374227]",4.53,7.51,4.26,4.11
61,61.0,AHPN,Holt Winter's,4.11,2.0,[3866722.   4640701.   4139915.59],3.47,"[4025556.081641576, 4570982.798499403, 3941223.731652066]",4.8,6.13,1.5,8.03
62,62.0,AHPN,Holt Winter's,3.25,3.0,[4640701.   4139915.59 3903136.32],2.97,"[4489942.432008224, 3971740.3923671716, 3965502.5877632312]",1.6,6.05,4.06,8.58
63,63.0,AHPN,Holt Winter's,2.57,4.0,[4139915.59 3903136.32 3905032.63],3.27,"[4033470.8448517076, 4120319.7383128903, 3839514.9130681315]",1.68,6.16,5.56,4.54
64,64.0,AHPN,Holt Winter's,5.06,5.0,[3903136.32 3905032.63 3907572.95],3.64,"[4100447.896803522, 3802854.9915594407, 3780336.307541351]",3.26,7.45,2.62,2.89
65,65.0,AHPN,Holt Winter's,3.14,6.0,[3905032.63 3907572.95 4446243.31],6.04,"[3782481.763723462, 3732859.658842752, 3979016.798916091]",10.51,7.5,4.47,2.66
66,66.0,AHPN,Holt Winter's,3.57,7.0,[3907572.95 4446243.31 4110963.7 ],5.36,"[3767942.889955857, 4062617.6599525996, 3951001.8166132905]",3.89,7.4,8.63,3.3
67,67.0,AHPN,Holt Winter's,8.0,8.0,[4446243.31 4110963.7  4802555.71],3.93,"[4090681.7462585657, 4002799.834799773, 4858975.260068457]",1.17,7.26,2.63,3.68
68,68.0,AHPN,Holt Winter's,1.04,9.0,[4110963.7  4802555.71 4393488.78],3.4,"[4068067.530832862, 4975885.233536473, 4149567.2815774553]",5.55,7.3,3.61,5.12
69,69.0,AHPN,Holt Winter's,2.81,10.0,[4802555.71 4393488.78 3925176.47],4.07,"[4937369.597777313, 4060239.7851246954, 3997035.475050878]",1.83,6.36,7.59,3.12
70,70.0,AHPN,Holt Winter's,7.7,11.0,[4393488.78 3925176.47 4482485.  ],5.73,"[4055363.895348873, 4250511.813070337, 4428815.614840548]",1.2,5.69,8.29,2.69
71,71.0,AHPN,Holt Winter's,9.48,12.0,[3925176.47 4482485.   4557871.16],5.0,"[4297138.702550726, 4439078.890310054, 4349758.094299331]",4.57,5.62,0.97,3.68
72,72.0,AHPN,PROPHET,6.0,1.0,[4511639.85 3866722.   4640701.  ],11.02,"[4241105.650724028, 4270595.822184009, 3869321.4291494386]",16.62,7.46,10.44,10.08
73,73.0,AHPN,PROPHET,12.5,2.0,[3866722.   4640701.   4139915.59],8.36,"[4350053.276352462, 4250073.969083868, 3967019.5618299707]",4.18,6.66,8.42,7.21
74,74.0,AHPN,PROPHET,14.25,3.0,[4640701.   4139915.59 3903136.32],8.6,"[3979512.0102537437, 4217947.7813123455, 4281031.823005816]",9.68,6.61,1.88,11.13
75,75.0,AHPN,PROPHET,6.69,4.0,[4139915.59 3903136.32 3905032.63],10.21,"[4416888.103912908, 4413499.151622686, 4329676.298499366]",10.87,6.73,13.08,9.99
76,76.0,AHPN,PROPHET,11.47,5.0,[3903136.32 3905032.63 3907572.95],8.47,"[4350930.416860366, 4376457.420417917, 3980131.631769462]",1.86,8.01,12.07,8.58
77,77.0,AHPN,PROPHET,13.35,6.0,[3905032.63 3907572.95 4446243.31],10.63,"[4426214.914325411, 4282037.854982373, 4048479.896718831]",8.95,7.99,9.58,8.79
78,78.0,AHPN,PROPHET,10.4,7.0,[3907572.95 4446243.31 4110963.7 ],9.37,"[4313955.96498795, 3947220.679339758, 3843915.5938032395]",6.5,7.89,11.22,9.33
79,79.0,AHPN,PROPHET,8.64,8.0,[4446243.31 4110963.7  4802555.71],10.83,"[4062046.041516644, 3854824.9212643914, 3956908.16623932]",17.61,7.54,6.23,8.72
80,80.0,AHPN,PROPHET,6.11,9.0,[4110963.7  4802555.71 4393488.78],5.78,"[3859836.6408509975, 4286493.63140451, 4372278.800275014]",0.48,7.7,10.75,10.27
81,81.0,AHPN,PROPHET,15.46,10.0,[4802555.71 4393488.78 3925176.47],8.56,"[4059882.1994593157, 4124262.725022948, 4085598.037894053]",4.09,7.56,6.13,8.58
82,82.0,AHPN,PROPHET,0.26,11.0,[4393488.78 3925176.47 4482485.  ],4.75,"[4405015.810413512, 4463864.392731304, 4471184.312968465]",0.25,6.23,13.72,11.2
83,83.0,AHPN,PROPHET,6.87,12.0,[3925176.47 4482485.   4557871.16],5.56,"[4194644.920737334, 4194736.772145012, 4403410.949256362]",3.39,6.45,6.42,5.73
84,84.0,AHPN Clear Lake,SARIMA,17.62,1.0,[192307.   258690.24 299343.27],27.79,"[158424.7321796324, 195538.0592727133, 175638.6504593215]",41.33,47.65,24.41,45.08
85,85.0,AHPN Clear Lake,SARIMA,18.14,2.0,[ 258690.24  299343.27 1749036.69],45.83,"[211751.8617540722, 201798.23292871463, 231679.47244592773]",86.75,46.01,32.59,42.9
86,86.0,AHPN Clear Lake,SARIMA,31.62,3.0,[ 299343.27 1749036.69  896649.26],64.32,"[204677.3268723955, 235108.7633309678, 226213.1182813892]",74.77,47.67,86.56,49.46
87,87.0,AHPN Clear Lake,SARIMA,83.47,4.0,[1749036.69  896649.26 1994413.  ],78.44,"[289153.51873514487, 293441.4720755004, 307432.48100500234]",84.59,49.08,67.27,32.13
88,88.0,AHPN Clear Lake,SARIMA,140.58,5.0,[ 896649.26 1994413.   2014742.  ],53.91,"[2157174.078186032, 2362815.4842697536, 2068452.0711101561]",2.67,49.61,18.47,51.53
89,89.0,AHPN Clear Lake,SARIMA,23.83,6.0,[1994413. 2014742. 2187756.],26.96,"[1519129.6646639952, 1326996.7573164501, 1686282.5317923464]",22.92,46.53,34.14,62.14
90,90.0,AHPN Clear Lake,SARIMA,32.34,7.0,[2014742. 2187756. 1377361.],17.54,"[1363189.554300955, 1807308.6345190876, 1417287.746115102]",2.9,48.72,17.39,76.52
91,91.0,AHPN Clear Lake,SARIMA,5.26,8.0,[2187756. 1377361. 1313712.],52.92,"[2302838.575940736, 2136226.949226142, 2606462.8723709756]",98.4,55.44,55.1,36.07
92,92.0,AHPN Clear Lake,SARIMA,54.53,9.0,[1377361.   1313712.   2703921.01],47.62,"[2128395.3956022025, 2209105.0252697254, 2158001.6070874943]",20.19,50.36,68.16,35.91
93,93.0,AHPN Clear Lake,SARIMA,17.06,10.0,[1313712.   2703921.01 1578583.03],23.27,"[1537828.378811182, 1493267.6314557502, 1452576.0764586353]",7.98,49.5,44.77,20.57
94,94.0,AHPN Clear Lake,SARIMAX,12.99,1.0,[192307.   258690.24 299343.27],22.77,"[167322.79323352734, 200551.13356468146, 201007.54313284584]",32.85,46.25,22.47,50.58
95,95.0,AHPN Clear Lake,SARIMAX,17.94,2.0,[ 258690.24  299343.27 1749036.69],45.7,"[212269.17841931022, 208016.13521825697, 198641.04995339684]",88.64,51.1,30.51,37.47
96,96.0,AHPN Clear Lake,SARIMAX,13.99,3.0,[ 299343.27 1749036.69  896649.26],57.21,"[257450.3572764013, 234326.7267849266, 259742.5836181467]",71.03,52.46,86.6,54.41
97,97.0,AHPN Clear Lake,SARIMAX,84.56,4.0,[1749036.69  896649.26 1994413.  ],78.97,"[270002.83034459647, 299936.3702109499, 283018.77366235974]",85.81,50.26,66.55,26.17
98,98.0,AHPN Clear Lake,SARIMAX,145.94,5.0,[ 896649.26 1994413.   2014742.  ],79.89,"[2205176.479861199, 2935982.0479212403, 2951995.358942823]",46.52,42.22,47.21,53.36
99,99.0,AHPN Clear Lake,SARIMAX,32.53,6.0,[1994413. 2014742. 2187756.],44.81,"[1345666.4597033602, 842853.1459409462, 1231043.3069315325]",43.73,51.87,58.17,57.01
100,100.0,AHPN Clear Lake,SARIMAX,45.4,7.0,[2014742. 2187756. 1377361.],37.25,"[1100131.606407382, 1439315.30011908, 934557.7859734412]",32.15,51.25,34.21,78.08
101,101.0,AHPN Clear Lake,SARIMAX,40.86,8.0,[2187756. 1377361. 1313712.],49.45,"[1293912.5555335954, 2116040.4925594525, 2021506.8778386344]",53.88,69.18,53.63,38.89
102,102.0,AHPN Clear Lake,SARIMAX,71.31,9.0,[1377361.   1313712.   2703921.01],53.23,"[2359616.2842006395, 2207452.5227211267, 2153608.0467491304]",20.35,98.42,68.03,53.34
103,103.0,AHPN Clear Lake,SARIMAX,32.41,10.0,[1313712.   2703921.01 1578583.03],29.39,"[1739541.0369121153, 1599143.9862826613, 1813836.8362886761]",14.9,176.7,40.86,18.72
104,104.0,AHPN Clear Lake,TBATS,16.48,1.0,[192307.   258690.24 299343.27],33.58,"[160607.63496718748, 160607.63496718748, 160607.63496718748]",46.35,56.71,37.92,52.92
105,105.0,AHPN Clear Lake,TBATS,30.78,2.0,[ 258690.24  299343.27 1749036.69],53.57,"[179065.8362493297, 179065.8362493297, 179065.8362493297]",89.76,58.4,40.18,44.85
106,106.0,AHPN Clear Lake,TBATS,25.36,3.0,[ 299343.27 1749036.69  896649.26],62.55,"[223440.70691439297, 223440.70691439297, 223440.70691439297]",75.08,56.08,87.22,52.26
107,107.0,AHPN Clear Lake,TBATS,83.03,4.0,[1749036.69  896649.26 1994413.  ],76.99,"[296826.01013793773, 316014.39942990174, 335202.7887218658]",83.19,58.61,64.76,25.07
108,108.0,AHPN Clear Lake,TBATS,8.49,5.0,[ 896649.26 1994413.   2014742.  ],28.5,"[972733.8884366676, 1133901.7735843176, 1332306.3195871885]",33.87,54.77,43.15,48.24
109,109.0,AHPN Clear Lake,TBATS,33.94,6.0,[1994413. 2014742. 2187756.],18.13,"[1317508.73430731, 1694364.5598076025, 2088170.115485926]",4.55,57.36,15.9,55.46
110,110.0,AHPN Clear Lake,TBATS,7.52,7.0,[2014742. 2187756. 1377361.],57.26,"[1863150.0726524398, 2388041.7503813063, 3513808.9883167516]",155.11,48.21,9.15,78.27
111,111.0,AHPN Clear Lake,TBATS,16.91,8.0,[2187756. 1377361. 1313712.],117.66,"[2557640.71989354, 3205503.090232344, 3985144.5077852155]",203.35,51.69,132.73,55.97
112,112.0,AHPN Clear Lake,TBATS,102.52,9.0,[1377361.   1313712.   2703921.01],107.04,"[2789465.7144617965, 3428670.3815451246, 4261879.251989443]",57.62,53.63,160.99,26.51
113,113.0,AHPN Clear Lake,TBATS,20.38,10.0,[1313712.   2703921.01 1578583.03],20.69,"[1581382.5057936355, 1581382.5057936355, 1581382.5057936355]",0.18,57.86,41.52,22.06
114,114.0,AHPN Clear Lake,VARMAX,30.77,1.0,[192307.   258690.24 299343.27],14.92,"[251480.50246813498, 264604.2388764832, 264342.88563361095]",11.69,38.82,2.29,43.37
115,115.0,AHPN Clear Lake,VARMAX,5.9,2.0,[ 258690.24  299343.27 1749036.69],35.2,"[273943.9689448637, 260204.29805742213, 233861.19273655475]",86.63,46.32,13.07,38.98
116,116.0,AHPN Clear Lake,VARMAX,11.24,3.0,[ 299343.27 1749036.69  896649.26],55.1,"[265708.36861825635, 269695.46850134735, 273657.04049105203]",69.48,49.06,84.58,17.12
117,117.0,AHPN Clear Lake,VARMAX,84.13,4.0,[1749036.69  896649.26 1994413.  ],80.17,"[277509.13355098316, 282130.04563759366, 242696.26927030517]",87.83,46.12,68.54,14.62
118,118.0,AHPN Clear Lake,VARMAX,52.34,5.0,[ 896649.26 1994413.   2014742.  ],76.54,"[427364.874250952, 320739.9846902948, 133721.408066891]",93.36,49.03,83.92,41.33
119,119.0,AHPN Clear Lake,VARMAX,61.27,6.0,[1994413. 2014742. 2187756.],70.82,"[772429.9680776506, 506342.16230986087, 518282.0867542741]",76.31,55.34,74.87,58.14
120,120.0,AHPN Clear Lake,VARMAX,52.79,7.0,[2014742. 2187756. 1377361.],29.48,"[951062.4287107313, 1864793.4888412114, 1089691.0671995068]",20.89,59.52,14.76,78.65
121,121.0,AHPN Clear Lake,VARMAX,6.45,8.0,[2187756. 1377361. 1313712.],37.73,"[2046691.5450363911, 2036785.7372084751, 2087142.3179444168]",58.87,127.47,47.88,75.11
122,122.0,AHPN Clear Lake,VARMAX,52.68,9.0,[1377361.   1313712.   2703921.01],47.13,"[2103009.75594982, 2059208.8741937838, 1839925.1105492504]",31.95,118.69,56.75,67.92
123,123.0,AHPN Clear Lake,VARMAX,29.35,10.0,[1313712.   2703921.01 1578583.03],44.77,"[1699345.9886451636, 1106841.5669223832, 854070.4511393615]",45.9,142.22,59.07,19.23
124,124.0,AHPN Clear Lake,VARMA,35.57,1.0,[192307.   258690.24 299343.27],28.6,"[260704.15209459668, 336037.3753915321, 360184.313715863]",20.32,53.51,29.9,41.49
125,125.0,AHPN Clear Lake,VARMA,9.7,2.0,[ 258690.24  299343.27 1749036.69],30.49,"[283781.94041497214, 296708.98575107654, 334237.436313617]",80.89,53.85,0.88,40.45
126,126.0,AHPN Clear Lake,VARMA,11.76,3.0,[ 299343.27 1749036.69  896649.26],52.72,"[264147.21720435476, 317490.6196347966, 317687.8238594217]",64.57,50.33,81.85,29.95
127,127.0,AHPN Clear Lake,VARMA,80.76,4.0,[1749036.69  896649.26 1994413.  ],76.2,"[336532.7102569653, 320153.68518240546, 328445.67323780124]",83.53,46.56,64.29,23.22
128,128.0,AHPN Clear Lake,VARMA,43.92,5.0,[ 896649.26 1994413.   2014742.  ],67.73,"[502871.3458821559, 453437.50055005535, 362724.95556781854]",82.0,53.03,77.26,34.54
129,129.0,AHPN Clear Lake,VARMA,54.94,6.0,[1994413. 2014742. 2187756.],73.86,"[898594.3832483003, 391746.12598567206, 304406.2679303101]",86.09,54.59,80.56,50.34
130,130.0,AHPN Clear Lake,VARMA,51.17,7.0,[2014742. 2187756. 1377361.],44.0,"[983716.3718422981, 1143350.0935888244, 921499.2505175922]",33.1,52.87,47.74,74.72
131,131.0,AHPN Clear Lake,VARMA,3.97,8.0,[2187756. 1377361. 1313712.],38.17,"[2100972.005871227, 2050004.3120459802, 2124352.356649426]",61.71,102.02,48.84,56.17
132,132.0,AHPN Clear Lake,VARMA,54.56,9.0,[1377361.   1313712.   2703921.01],47.14,"[2128912.0251425146, 2096120.1491035528, 1966188.7678014887]",27.28,97.9,59.56,59.53
133,133.0,AHPN Clear Lake,VARMA,7.23,10.0,[1313712.   2703921.01 1578583.03],41.31,"[1408630.0779404305, 1005370.4440893239, 728142.5575781269]",53.87,130.82,62.82,19.88
134,134.0,AHPN Clear Lake,Holt Winter's,15.25,1.0,[192307.   258690.24 299343.27],13.1,"[221630.97972372212, 197678.5949859529, 300698.22770182113]",0.45,49.15,23.58,62.46
135,135.0,AHPN Clear Lake,Holt Winter's,33.44,2.0,[ 258690.24  299343.27 1749036.69],43.68,"[172184.85927502657, 267118.63139020687, 230070.73245757358]",86.85,48.35,10.77,49.4
136,136.0,AHPN Clear Lake,Holt Winter's,25.17,3.0,[ 299343.27 1749036.69  896649.26],57.48,"[374673.7804882317, 319595.3167358198, 308953.55708185193]",65.54,48.77,81.73,37.27
137,137.0,AHPN Clear Lake,Holt Winter's,84.85,4.0,[1749036.69  896649.26 1994413.  ],77.06,"[264933.293239251, 345110.646104482, 302978.0553233555]",84.81,47.22,61.51,16.57
138,138.0,AHPN Clear Lake,Holt Winter's,28.55,5.0,[ 896649.26 1994413.   2014742.  ],58.62,"[640625.5725206597, 542343.5476055184, 513862.8289220726]",74.49,47.55,72.81,39.81
139,139.0,AHPN Clear Lake,Holt Winter's,69.94,6.0,[1994413. 2014742. 2187756.],74.79,"[599524.7696354315, 578695.9550688604, 368885.44269299187]",83.14,45.48,71.28,58.26
140,140.0,AHPN Clear Lake,Holt Winter's,39.56,7.0,[2014742. 2187756. 1377361.],47.12,"[1217686.182198594, 678464.6110933106, 925322.4077188617]",32.82,44.63,68.99,81.55
141,141.0,AHPN Clear Lake,Holt Winter's,66.81,8.0,[2187756. 1377361. 1313712.],31.53,"[726155.6797740208, 1044260.678838633, 1360881.2355909455]",3.59,48.78,24.18,70.42
142,142.0,AHPN Clear Lake,Holt Winter's,210.45,9.0,[1377361.   1313712.   2703921.01],260.13,"[4276036.002252916, 8507238.560347108, 3308377.225027689]",22.35,49.41,547.57,22.67
143,143.0,AHPN Clear Lake,Holt Winter's,347.22,10.0,[1313712.   2703921.01 1578583.03],16718.21,"[5875205.508883166, 6674865.059090875, 785511474.6263592]",49660.54,46.79,146.86,27.15
