,billing_entity,model,set_no,train_mape,val_mape,test_mape,test_actual,test_predicted,one_month,third_month,two_month
12,AHPN,SARIMAX,1,6.46,13.48,2.87,[4511639.85 3866722.   4640701.  ],"[4686800.226587794, 3820424.5625317628, 4804131.827565108]",3.88,3.52,1.2
13,AHPN,SARIMAX,2,5.86,8.97,2.73,[3866722.   4640701.   4139915.59],"[4047963.202952741, 4673100.1253524, 4256038.796603928]",4.69,2.8,0.7
14,AHPN,SARIMAX,3,6.16,4.27,4.78,[4640701.   4139915.59 3903136.32],"[4837895.860648682, 4182968.793405528, 4256786.122919462]",4.25,9.06,1.04
15,AHPN,SARIMAX,4,6.57,2.39,3.37,[4139915.59 3903136.32 3905032.63],"[4276094.562079482, 4138029.0579396216, 3874060.029475488]",3.29,0.79,6.02
16,AHPN,SARIMAX,5,7.11,6.63,8,[3903136.32 3905032.63 3907572.95],"[4463379.208714525, 3549219.468537168, 3928669.0068454607]",14.35,0.54,9.11
17,AHPN,SARIMAX,6,6.77,4.32,8.81,[3905032.63 3907572.95 4446243.31],"[4119488.871537027, 3276772.967197192, 4232731.030771258]",5.49,4.8,16.14
18,AHPN,SARIMAX,7,6.08,7.56,6.62,[3907572.95 4446243.31 4110963.7 ],"[3679868.5941479094, 3839432.2689905576, 4095273.7229821933]",5.83,0.38,13.65
19,AHPN,SARIMAX,8,7.01,4.33,4.66,[4446243.31 4110963.7  4802555.71],"[4286892.24937736, 3843445.916454564, 4616512.998129055]",3.58,3.87,6.51
20,AHPN,SARIMAX,9,5.79,6.01,2.3,[4110963.7  4802555.71 4393488.78],"[3937800.100635729, 4826987.224653667, 4297870.907815929]",4.21,2.18,0.51
21,AHPN,SARIMAX,10,6.11,5.86,4.86,[4802555.71 4393488.78 3925176.47],"[4819877.485581698, 4304894.010594649, 4403829.997827583]",0.36,12.19,2.02
22,AHPN,SARIMAX,11,5.46,6.44,6.32,[4393488.78 3925176.47 4482485.  ],"[4372620.70536498, 4429441.006150049, 4734951.0058522085]",0.47,5.63,12.85
23,AHPN,SARIMAX,12,5.74,1.92,11.5,[3925176.47 4482485.   4557871.16],"[4536605.413036434, 4693436.656147303, 3909251.603758884]",15.58,14.23,4.71
24,AHPN,TBATS,1,8.23,8.5,8.9,[4511639.85 3866722.   4640701.  ],"[4092145.3500900925, 4107427.4923812947, 4122650.567515282]",9.3,11.16,6.23
25,AHPN,TBATS,2,7.96,7.79,6.64,[3866722.   4640701.   4139915.59],"[4036583.9991857614, 4036583.9991857614, 4036583.9991857614]",4.39,2.5,13.02
26,AHPN,TBATS,3,6.55,8.94,3.92,[4640701.   4139915.59 3903136.32],"[4143332.243881931, 4183204.883253003, 3903178.6101502595]",10.72,0,1.05
27,AHPN,TBATS,4,7.85,9.29,4.94,[4139915.59 3903136.32 3905032.63],"[4157948.2442232445, 4175853.4248284884, 4193835.7143225595]",0.44,7.4,6.99
28,AHPN,TBATS,5,8.6,6.28,8.52,[3903136.32 3905032.63 3907572.95],"[4220328.184026399, 4238100.995855631, 4255846.73364818]",8.13,8.91,8.53
29,AHPN,TBATS,6,8.88,6.56,7.11,[3905032.63 3907572.95 4446243.31],"[4240403.375497007, 4265555.95144532, 4286847.924619205]",8.59,3.58,9.16
30,AHPN,TBATS,7,8.99,4.53,5.19,[3907572.95 4446243.31 4110963.7 ],"[4205071.104055505, 4215222.748550202, 4224328.348600037]",7.61,2.76,5.2
31,AHPN,TBATS,8,8.9,6.1,6.77,[4446243.31 4110963.7  4802555.71],"[4210032.793054233, 4191084.394787092, 4175925.676056728]",5.31,13.05,1.95
32,AHPN,TBATS,9,8.71,7.52,6.41,[4110963.7  4802555.71 4393488.78],"[4165124.5749756084, 4173489.7336452887, 4181775.4710086472]",1.32,4.82,13.1
33,AHPN,TBATS,10,8.25,4.56,8.29,[4802555.71 4393488.78 3925176.47],"[4148488.1434628293, 4147741.538276049, 4147092.6989316554]",13.62,5.65,5.59
34,AHPN,TBATS,11,6.03,9.4,5.81,[4393488.78 3925176.47 4482485.  ],"[4214923.295792633, 4214923.295792633, 4214923.295792633]",4.06,5.97,7.38
35,AHPN,TBATS,12,6.49,6.61,5.6,[3925176.47 4482485.   4557871.16],"[4214876.413845137, 4293337.343576425, 4321056.270521962]",7.38,5.2,4.22
36,AHPN,VARMAX,1,6.1,10.35,7.58,[4511639.85 3866722.   4640701.  ],"[4071597.1405922957, 3892936.170961344, 4069181.8906421084]",9.75,12.32,0.68
37,AHPN,VARMAX,2,5.88,15.87,4.95,[3866722.   4640701.   4139915.59],"[3944228.6805341667, 4102388.4574975376, 4191494.5627984204]",2,1.25,11.6
38,AHPN,VARMAX,3,5.88,7.01,6.75,[4640701.   4139915.59 3903136.32],"[4041897.168502141, 3946080.389080705, 3799134.2758918502]",12.9,2.66,4.68
39,AHPN,VARMAX,4,5.8,8.92,8.26,[4139915.59 3903136.32 3905032.63],"[4136614.078035036, 4282677.111920163, 4489297.915985156]",0.08,14.96,9.72
40,AHPN,VARMAX,5,7,6.38,8.97,[3903136.32 3905032.63 3907572.95],"[4304468.716971149, 4275850.363715047, 3628815.6535075703]",10.28,7.13,9.5
41,AHPN,VARMAX,6,6.82,5.24,10.66,[3905032.63 3907572.95 4446243.31],"[4447768.979747354, 3370054.574826959, 4254217.522099638]",13.9,4.32,13.76
42,AHPN,VARMAX,7,6.92,6.88,15.8,[3907572.95 4446243.31 4110963.7 ],"[3110606.5041465615, 3766364.7822040725, 3628939.9027001727]",20.4,11.73,15.29
43,AHPN,VARMAX,8,5.72,8.32,13.07,[4446243.31 4110963.7  4802555.71],"[3553093.0664697723, 3790324.6164879855, 4259098.051213891]",20.09,11.32,7.8
44,AHPN,VARMAX,9,6.06,11.07,7.1,[4110963.7  4802555.71 4393488.78],"[3749006.9019817, 4741439.0635739, 3899930.403246872]",8.8,11.23,1.27
45,AHPN,VARMAX,10,5.82,15.99,8.96,[4802555.71 4393488.78 3925176.47],"[4649036.3774024155, 3651715.171084749, 4191570.2644661427]",3.2,6.79,16.88
46,AHPN,VARMAX,11,5.97,12.56,12.38,[4393488.78 3925176.47 4482485.  ],"[3874835.9694793667, 4741381.109907535, 4278519.727595092]",11.81,4.55,20.79
47,AHPN,VARMAX,12,5.76,4.94,8.14,[3925176.47 4482485.   4557871.16],"[4663135.526743191, 4637294.754335639, 4657190.083918587]",18.8,2.18,3.45
48,AHPN,VARMA,1,7.07,4.65,8.64,[4511639.85 3866722.   4640701.  ],"[4080343.138439859, 3797319.4771228046, 3964537.037241405]",9.56,14.57,1.79
49,AHPN,VARMA,2,6.32,5.57,3.97,[3866722.   4640701.   4139915.59],"[3750278.224561257, 4288833.092196921, 4084904.3187960833]",3.01,1.33,7.58
50,AHPN,VARMA,3,6.11,5.13,4.74,[4640701.   4139915.59 3903136.32],"[4316968.543995339, 4090657.7949742656, 4139398.5252316706]",6.98,6.05,1.19
51,AHPN,VARMA,4,6.06,7.38,7.53,[4139915.59 3903136.32 3905032.63],"[4156094.4024483566, 4353293.614823275, 4321438.872856145]",0.39,10.66,11.53
52,AHPN,VARMA,5,7.3,4.56,8.33,[3903136.32 3905032.63 3907572.95],"[4329291.770950883, 4319189.900698262, 4042618.2038187026]",10.92,3.46,10.61
53,AHPN,VARMA,6,6.92,4.13,7.38,[3905032.63 3907572.95 4446243.31],"[4345633.873200682, 3776478.049475845, 4112203.6070188475]",11.28,7.51,3.35
54,AHPN,VARMA,7,7.01,7.6,10.62,[3907572.95 4446243.31 4110963.7 ],"[3737699.7218849254, 3689807.2317222003, 3679727.4440016616]",4.35,10.49,17.01
55,AHPN,VARMA,8,6.12,8.13,12.31,[4446243.31 4110963.7  4802555.71],"[3683909.3163247365, 3824166.8064918392, 4187752.433104251]",17.15,12.8,6.98
56,AHPN,VARMA,9,6.44,6.46,8.14,[4110963.7  4802555.71 4393488.78],"[3668456.9588116067, 4491879.227213677, 4077563.273252091]",10.76,7.19,6.47
57,AHPN,VARMA,10,6.72,9.88,10.75,[4802555.71 4393488.78 3925176.47],"[4433856.921093998, 3668651.55791289, 4241797.6418554755]",7.68,8.07,16.5
58,AHPN,VARMA,11,5.56,8.37,11.19,[4393488.78 3925176.47 4482485.  ],"[3911782.4156548474, 4658921.276651113, 4657542.116069772]",10.96,3.91,18.69
59,AHPN,VARMA,12,5.78,4.14,8.73,[3925176.47 4482485.   4557871.16],"[4741560.1016805405, 4694026.374218279, 4527463.414469346]",20.8,0.67,4.72
60,AHPN,Holt Winter's,1,7.51,4.11,5.32,[4511639.85 3866722.   4640701.  ],"[4188256.0820783726, 4031395.03749037, 4430689.505374227]",7.17,4.53,4.26
61,AHPN,Holt Winter's,2,6.13,8.03,3.47,[3866722.   4640701.   4139915.59],"[4025556.081641576, 4570982.798499403, 3941223.731652066]",4.11,4.8,1.5
62,AHPN,Holt Winter's,3,6.05,8.58,2.97,[4640701.   4139915.59 3903136.32],"[4489942.432008224, 3971740.3923671716, 3965502.5877632312]",3.25,1.6,4.06
63,AHPN,Holt Winter's,4,6.16,4.54,3.27,[4139915.59 3903136.32 3905032.63],"[4033470.8448517076, 4120319.7383128903, 3839514.9130681315]",2.57,1.68,5.56
64,AHPN,Holt Winter's,5,7.45,2.89,3.64,[3903136.32 3905032.63 3907572.95],"[4100447.896803522, 3802854.9915594407, 3780336.307541351]",5.06,3.26,2.62
65,AHPN,Holt Winter's,6,7.5,2.66,6.04,[3905032.63 3907572.95 4446243.31],"[3782481.763723462, 3732859.658842752, 3979016.798916091]",3.14,10.51,4.47
66,AHPN,Holt Winter's,7,7.4,3.3,5.36,[3907572.95 4446243.31 4110963.7 ],"[3767942.889955857, 4062617.6599525996, 3951001.8166132905]",3.57,3.89,8.63
67,AHPN,Holt Winter's,8,7.26,3.68,3.93,[4446243.31 4110963.7  4802555.71],"[4090681.7462585657, 4002799.834799773, 4858975.260068457]",8,1.17,2.63
68,AHPN,Holt Winter's,9,7.3,5.12,3.4,[4110963.7  4802555.71 4393488.78],"[4068067.530832862, 4975885.233536473, 4149567.2815774553]",1.04,5.55,3.61
69,AHPN,Holt Winter's,10,6.36,3.12,4.07,[4802555.71 4393488.78 3925176.47],"[4937369.597777313, 4060239.7851246954, 3997035.475050878]",2.81,1.83,7.59
70,AHPN,Holt Winter's,11,5.69,2.69,5.73,[4393488.78 3925176.47 4482485.  ],"[4055363.895348873, 4250511.813070337, 4428815.614840548]",7.7,1.2,8.29
71,AHPN,Holt Winter's,12,5.62,3.68,5,[3925176.47 4482485.   4557871.16],"[4297138.702550726, 4439078.890310054, 4349758.094299331]",9.48,4.57,0.97
72,AHPN,PROPHET,1,7.46,10.08,11.02,[4511639.85 3866722.   4640701.  ],"[4241105.650724028, 4270595.822184009, 3869321.4291494386]",6,16.62,10.44
73,AHPN,PROPHET,2,6.66,7.21,8.36,[3866722.   4640701.   4139915.59],"[4350053.276352462, 4250073.969083868, 3967019.5618299707]",12.5,4.18,8.42
74,AHPN,PROPHET,3,6.61,11.13,8.6,[4640701.   4139915.59 3903136.32],"[3979512.0102537437, 4217947.7813123455, 4281031.823005816]",14.25,9.68,1.88
75,AHPN,PROPHET,4,6.73,9.99,10.21,[4139915.59 3903136.32 3905032.63],"[4416888.103912908, 4413499.151622686, 4329676.298499366]",6.69,10.87,13.08
76,AHPN,PROPHET,5,8.01,8.58,8.47,[3903136.32 3905032.63 3907572.95],"[4350930.416860366, 4376457.420417917, 3980131.631769462]",11.47,1.86,12.07
77,AHPN,PROPHET,6,7.99,8.79,10.63,[3905032.63 3907572.95 4446243.31],"[4426214.914325411, 4282037.854982373, 4048479.896718831]",13.35,8.95,9.58
78,AHPN,PROPHET,7,7.89,9.33,9.37,[3907572.95 4446243.31 4110963.7 ],"[4313955.96498795, 3947220.679339758, 3843915.5938032395]",10.4,6.5,11.22
79,AHPN,PROPHET,8,7.54,8.72,10.83,[4446243.31 4110963.7  4802555.71],"[4062046.041516644, 3854824.9212643914, 3956908.16623932]",8.64,17.61,6.23
80,AHPN,PROPHET,9,7.7,10.27,5.78,[4110963.7  4802555.71 4393488.78],"[3859836.6408509975, 4286493.63140451, 4372278.800275014]",6.11,0.48,10.75
81,AHPN,PROPHET,10,7.56,8.58,8.56,[4802555.71 4393488.78 3925176.47],"[4059882.1994593157, 4124262.725022948, 4085598.037894053]",15.46,4.09,6.13
82,AHPN,PROPHET,11,6.23,11.2,4.75,[4393488.78 3925176.47 4482485.  ],"[4405015.810413512, 4463864.392731304, 4471184.312968465]",0.26,0.25,13.72
83,AHPN,PROPHET,12,6.45,5.73,5.56,[3925176.47 4482485.   4557871.16],"[4194644.920737334, 4194736.772145012, 4403410.949256362]",6.87,3.39,6.42
84,AHPN Clear Lake,SARIMA,1,47.65,45.08,27.79,[192307.   258690.24 299343.27],"[158424.7321796324, 195538.0592727133, 175638.6504593215]",17.62,41.33,24.41
85,AHPN Clear Lake,SARIMA,2,46.01,42.9,45.83,[ 258690.24  299343.27 1749036.69],"[211751.8617540722, 201798.23292871463, 231679.47244592773]",18.14,86.75,32.59
86,AHPN Clear Lake,SARIMA,3,47.67,49.46,64.32,[ 299343.27 1749036.69  896649.26],"[204677.3268723955, 235108.7633309678, 226213.1182813892]",31.62,74.77,86.56
87,AHPN Clear Lake,SARIMA,4,49.08,32.13,78.44,[1749036.69  896649.26 1994413.  ],"[289153.51873514487, 293441.4720755004, 307432.48100500234]",83.47,84.59,67.27
88,AHPN Clear Lake,SARIMA,5,49.61,51.53,53.91,[ 896649.26 1994413.   2014742.  ],"[2157174.078186032, 2362815.4842697536, 2068452.0711101561]",140.58,2.67,18.47
89,AHPN Clear Lake,SARIMA,6,46.53,62.14,26.96,[1994413. 2014742. 2187756.],"[1519129.6646639952, 1326996.7573164501, 1686282.5317923464]",23.83,22.92,34.14
90,AHPN Clear Lake,SARIMA,7,48.72,76.52,17.54,[2014742. 2187756. 1377361.],"[1363189.554300955, 1807308.6345190876, 1417287.746115102]",32.34,2.9,17.39
91,AHPN Clear Lake,SARIMA,8,55.44,36.07,52.92,[2187756. 1377361. 1313712.],"[2302838.575940736, 2136226.949226142, 2606462.8723709756]",5.26,98.4,55.1
92,AHPN Clear Lake,SARIMA,9,50.36,35.91,47.62,[1377361.   1313712.   2703921.01],"[2128395.3956022025, 2209105.0252697254, 2158001.6070874943]",54.53,20.19,68.16
93,AHPN Clear Lake,SARIMA,10,49.5,20.57,23.27,[1313712.   2703921.01 1578583.03],"[1537828.378811182, 1493267.6314557502, 1452576.0764586353]",17.06,7.98,44.77
94,AHPN Clear Lake,SARIMAX,1,46.25,50.58,22.77,[192307.   258690.24 299343.27],"[167322.79323352734, 200551.13356468146, 201007.54313284584]",12.99,32.85,22.47
95,AHPN Clear Lake,SARIMAX,2,51.1,37.47,45.7,[ 258690.24  299343.27 1749036.69],"[212269.17841931022, 208016.13521825697, 198641.04995339684]",17.94,88.64,30.51
96,AHPN Clear Lake,SARIMAX,3,52.46,54.41,57.21,[ 299343.27 1749036.69  896649.26],"[257450.3572764013, 234326.7267849266, 259742.5836181467]",13.99,71.03,86.6
97,AHPN Clear Lake,SARIMAX,4,50.26,26.17,78.97,[1749036.69  896649.26 1994413.  ],"[270002.83034459647, 299936.3702109499, 283018.77366235974]",84.56,85.81,66.55
98,AHPN Clear Lake,SARIMAX,5,42.22,53.36,79.89,[ 896649.26 1994413.   2014742.  ],"[2205176.479861199, 2935982.0479212403, 2951995.358942823]",145.94,46.52,47.21
99,AHPN Clear Lake,SARIMAX,6,51.87,57.01,44.81,[1994413. 2014742. 2187756.],"[1345666.4597033602, 842853.1459409462, 1231043.3069315325]",32.53,43.73,58.17
100,AHPN Clear Lake,SARIMAX,7,51.25,78.08,37.25,[2014742. 2187756. 1377361.],"[1100131.606407382, 1439315.30011908, 934557.7859734412]",45.4,32.15,34.21
101,AHPN Clear Lake,SARIMAX,8,69.18,38.89,49.45,[2187756. 1377361. 1313712.],"[1293912.5555335954, 2116040.4925594525, 2021506.8778386344]",40.86,53.88,53.63
102,AHPN Clear Lake,SARIMAX,9,98.42,53.34,53.23,[1377361.   1313712.   2703921.01],"[2359616.2842006395, 2207452.5227211267, 2153608.0467491304]",71.31,20.35,68.03
103,AHPN Clear Lake,SARIMAX,10,176.7,18.72,29.39,[1313712.   2703921.01 1578583.03],"[1739541.0369121153, 1599143.9862826613, 1813836.8362886761]",32.41,14.9,40.86
104,AHPN Clear Lake,TBATS,1,56.71,52.92,33.58,[192307.   258690.24 299343.27],"[160607.63496718748, 160607.63496718748, 160607.63496718748]",16.48,46.35,37.92
105,AHPN Clear Lake,TBATS,2,58.4,44.85,53.57,[ 258690.24  299343.27 1749036.69],"[179065.8362493297, 179065.8362493297, 179065.8362493297]",30.78,89.76,40.18
106,AHPN Clear Lake,TBATS,3,56.08,52.26,62.55,[ 299343.27 1749036.69  896649.26],"[223440.70691439297, 223440.70691439297, 223440.70691439297]",25.36,75.08,87.22
107,AHPN Clear Lake,TBATS,4,58.61,25.07,76.99,[1749036.69  896649.26 1994413.  ],"[296826.01013793773, 316014.39942990174, 335202.7887218658]",83.03,83.19,64.76
108,AHPN Clear Lake,TBATS,5,54.77,48.24,28.5,[ 896649.26 1994413.   2014742.  ],"[972733.8884366676, 1133901.7735843176, 1332306.3195871885]",8.49,33.87,43.15
109,AHPN Clear Lake,TBATS,6,57.36,55.46,18.13,[1994413. 2014742. 2187756.],"[1317508.73430731, 1694364.5598076025, 2088170.115485926]",33.94,4.55,15.9
110,AHPN Clear Lake,TBATS,7,48.21,78.27,57.26,[2014742. 2187756. 1377361.],"[1863150.0726524398, 2388041.7503813063, 3513808.9883167516]",7.52,155.11,9.15
111,AHPN Clear Lake,TBATS,8,51.69,55.97,117.66,[2187756. 1377361. 1313712.],"[2557640.71989354, 3205503.090232344, 3985144.5077852155]",16.91,203.35,132.73
112,AHPN Clear Lake,TBATS,9,53.63,26.51,107.04,[1377361.   1313712.   2703921.01],"[2789465.7144617965, 3428670.3815451246, 4261879.251989443]",102.52,57.62,160.99
113,AHPN Clear Lake,TBATS,10,57.86,22.06,20.69,[1313712.   2703921.01 1578583.03],"[1581382.5057936355, 1581382.5057936355, 1581382.5057936355]",20.38,0.18,41.52
114,AHPN Clear Lake,VARMAX,1,38.82,43.37,14.92,[192307.   258690.24 299343.27],"[251480.50246813498, 264604.2388764832, 264342.88563361095]",30.77,11.69,2.29
115,AHPN Clear Lake,VARMAX,2,46.32,38.98,35.2,[ 258690.24  299343.27 1749036.69],"[273943.9689448637, 260204.29805742213, 233861.19273655475]",5.9,86.63,13.07
116,AHPN Clear Lake,VARMAX,3,49.06,17.12,55.1,[ 299343.27 1749036.69  896649.26],"[265708.36861825635, 269695.46850134735, 273657.04049105203]",11.24,69.48,84.58
117,AHPN Clear Lake,VARMAX,4,46.12,14.62,80.17,[1749036.69  896649.26 1994413.  ],"[277509.13355098316, 282130.04563759366, 242696.26927030517]",84.13,87.83,68.54
118,AHPN Clear Lake,VARMAX,5,49.03,41.33,76.54,[ 896649.26 1994413.   2014742.  ],"[427364.874250952, 320739.9846902948, 133721.408066891]",52.34,93.36,83.92
119,AHPN Clear Lake,VARMAX,6,55.34,58.14,70.82,[1994413. 2014742. 2187756.],"[772429.9680776506, 506342.16230986087, 518282.0867542741]",61.27,76.31,74.87
120,AHPN Clear Lake,VARMAX,7,59.52,78.65,29.48,[2014742. 2187756. 1377361.],"[951062.4287107313, 1864793.4888412114, 1089691.0671995068]",52.79,20.89,14.76
121,AHPN Clear Lake,VARMAX,8,127.47,75.11,37.73,[2187756. 1377361. 1313712.],"[2046691.5450363911, 2036785.7372084751, 2087142.3179444168]",6.45,58.87,47.88
122,AHPN Clear Lake,VARMAX,9,118.69,67.92,47.13,[1377361.   1313712.   2703921.01],"[2103009.75594982, 2059208.8741937838, 1839925.1105492504]",52.68,31.95,56.75
123,AHPN Clear Lake,VARMAX,10,142.22,19.23,44.77,[1313712.   2703921.01 1578583.03],"[1699345.9886451636, 1106841.5669223832, 854070.4511393615]",29.35,45.9,59.07
124,AHPN Clear Lake,VARMA,1,53.51,41.49,28.6,[192307.   258690.24 299343.27],"[260704.15209459668, 336037.3753915321, 360184.313715863]",35.57,20.32,29.9
125,AHPN Clear Lake,VARMA,2,53.85,40.45,30.49,[ 258690.24  299343.27 1749036.69],"[283781.94041497214, 296708.98575107654, 334237.436313617]",9.7,80.89,0.88
126,AHPN Clear Lake,VARMA,3,50.33,29.95,52.72,[ 299343.27 1749036.69  896649.26],"[264147.21720435476, 317490.6196347966, 317687.8238594217]",11.76,64.57,81.85
127,AHPN Clear Lake,VARMA,4,46.56,23.22,76.2,[1749036.69  896649.26 1994413.  ],"[336532.7102569653, 320153.68518240546, 328445.67323780124]",80.76,83.53,64.29
128,AHPN Clear Lake,VARMA,5,53.03,34.54,67.73,[ 896649.26 1994413.   2014742.  ],"[502871.3458821559, 453437.50055005535, 362724.95556781854]",43.92,82,77.26
129,AHPN Clear Lake,VARMA,6,54.59,50.34,73.86,[1994413. 2014742. 2187756.],"[898594.3832483003, 391746.12598567206, 304406.2679303101]",54.94,86.09,80.56
130,AHPN Clear Lake,VARMA,7,52.87,74.72,44,[2014742. 2187756. 1377361.],"[983716.3718422981, 1143350.0935888244, 921499.2505175922]",51.17,33.1,47.74
131,AHPN Clear Lake,VARMA,8,102.02,56.17,38.17,[2187756. 1377361. 1313712.],"[2100972.005871227, 2050004.3120459802, 2124352.356649426]",3.97,61.71,48.84
132,AHPN Clear Lake,VARMA,9,97.9,59.53,47.14,[1377361.   1313712.   2703921.01],"[2128912.0251425146, 2096120.1491035528, 1966188.7678014887]",54.56,27.28,59.56
133,AHPN Clear Lake,VARMA,10,130.82,19.88,41.31,[1313712.   2703921.01 1578583.03],"[1408630.0779404305, 1005370.4440893239, 728142.5575781269]",7.23,53.87,62.82
134,AHPN Clear Lake,Holt Winter's,1,49.15,62.46,13.1,[192307.   258690.24 299343.27],"[221630.97972372212, 197678.5949859529, 300698.22770182113]",15.25,0.45,23.58
135,AHPN Clear Lake,Holt Winter's,2,48.35,49.4,43.68,[ 258690.24  299343.27 1749036.69],"[172184.85927502657, 267118.63139020687, 230070.73245757358]",33.44,86.85,10.77
136,AHPN Clear Lake,Holt Winter's,3,48.77,37.27,57.48,[ 299343.27 1749036.69  896649.26],"[374673.7804882317, 319595.3167358198, 308953.55708185193]",25.17,65.54,81.73
137,AHPN Clear Lake,Holt Winter's,4,47.22,16.57,77.06,[1749036.69  896649.26 1994413.  ],"[264933.293239251, 345110.646104482, 302978.0553233555]",84.85,84.81,61.51
138,AHPN Clear Lake,Holt Winter's,5,47.55,39.81,58.62,[ 896649.26 1994413.   2014742.  ],"[640625.5725206597, 542343.5476055184, 513862.8289220726]",28.55,74.49,72.81
139,AHPN Clear Lake,Holt Winter's,6,45.48,58.26,74.79,[1994413. 2014742. 2187756.],"[599524.7696354315, 578695.9550688604, 368885.44269299187]",69.94,83.14,71.28
140,AHPN Clear Lake,Holt Winter's,7,44.63,81.55,47.12,[2014742. 2187756. 1377361.],"[1217686.182198594, 678464.6110933106, 925322.4077188617]",39.56,32.82,68.99
141,AHPN Clear Lake,Holt Winter's,8,48.78,70.42,31.53,[2187756. 1377361. 1313712.],"[726155.6797740208, 1044260.678838633, 1360881.2355909455]",66.81,3.59,24.18
142,AHPN Clear Lake,Holt Winter's,9,49.41,22.67,260.13,[1377361.   1313712.   2703921.01],"[4276036.002252916, 8507238.560347108, 3308377.225027689]",210.45,22.35,547.57
143,AHPN Clear Lake,Holt Winter's,10,46.79,27.15,16718.21,[1313712.   2703921.01 1578583.03],"[5875205.508883166, 6674865.059090875, 785511474.6263592]",347.22,49660.54,146.86
144,AHPN Clear Lake,PROPHET,1,53.58,64.54,61.58,[192307.   258690.24 299343.27],"[103722.2797567341, 97912.06344263462, 70280.0164214845]",46.06,76.52,62.15
145,AHPN Clear Lake,PROPHET,2,56.03,67.49,61.81,[ 258690.24  299343.27 1749036.69],"[131195.98258932825, 164889.32498472338, 153278.2820664511]",49.28,91.24,44.92
146,AHPN Clear Lake,PROPHET,3,55.2,59.1,69.41,[ 299343.27 1749036.69  896649.26],"[179309.56170746282, 161439.18902207172, 202911.35565272247]",40.1,77.37,90.77
147,AHPN Clear Lake,PROPHET,4,53.62,59.95,80.5,[1749036.69  896649.26 1994413.  ],"[272879.8686796158, 268912.54410091013, 257158.30061026444]",84.4,87.11,70.01
148,AHPN Clear Lake,PROPHET,5,55.35,61.58,52.32,[ 896649.26 1994413.   2014742.  ],"[691792.0356414539, 659267.4496050454, 661627.8386774573]",22.85,67.16,66.94
149,AHPN Clear Lake,PROPHET,6,52.88,70.22,59.52,[1994413. 2014742. 2187756.],"[891214.479497574, 855613.59496226, 750063.5196186623]",55.31,65.72,57.53
150,AHPN Clear Lake,PROPHET,7,50.42,79.82,33.2,[2014742. 2187756. 1377361.],"[1280554.5714962077, 1187084.2566058305, 1137391.1621819444]",36.44,17.42,45.74
151,AHPN Clear Lake,PROPHET,8,239.17,54.78,14.58,[2187756. 1377361. 1313712.],"[1529987.1588182368, 1467091.2380047068, 1407584.7604187434]",30.07,7.15,6.51
152,AHPN Clear Lake,PROPHET,9,234.72,60.42,36.59,[1377361.   1313712.   2703921.01],"[1905058.8691476304, 1805708.4039067104, 1784305.2138229206]",38.31,34.01,37.45
153,AHPN Clear Lake,PROPHET,10,254.17,32.96,37.28,[1313712.   2703921.01 1578583.03],"[1925081.6167190832, 1842279.2874963512, 2106220.0097335703]",46.54,33.42,31.87
